inspection_date,vehicle_id,vehicle_age_years,mileage_km,service_gap_months,brake_wear_percent,engine_alerts_90d,vibration_index,battery_voltage,avg_engine_temp_c,prior_failures,harsh_braking_events_30d,failure_probability_hidden,failure_next_30_days
2024-01-01 00:00:00,VH-0000,5.99,107625,6.03,64.92,1,4.36,11.95,89.74,2,13,0.2949,1
2024-01-01 06:00:00,VH-0001,2.5,40004,6.02,50.35,2,2.49,12.63,99.15,0,7,0.0087,0
2024-01-01 12:00:00,VH-0002,7.15,146619,7.83,37.79,4,6.04,12.46,98.33,1,9,0.1094,0
2024-01-01 18:00:00,VH-0003,7.65,86735,0.31,63.88,3,5.21,12.28,95.03,0,6,0.0641,0
2024-01-02 00:00:00,VH-0004,0.3,3000,14.7,19.98,2,3.55,12.03,87.37,0,4,0.046,0
2024-01-02 06:00:00,VH-0005,1.81,29117,4.21,39.25,2,3.47,12.34,93.44,0,6,0.0008,0
2024-01-02 12:00:00,VH-0006,5.53,43890,14.14,37.79,2,6.67,12.84,92.84,2,11,0.5527,0
2024-01-02 18:00:00,VH-0007,4.38,62287,4.1,54.75,0,2.69,12.22,90.54,0,7,0.0186,0
2024-01-03 00:00:00,VH-0008,5.16,69585,3.4,42.26,0,3.25,12.62,93.26,1,7,0.0144,0
2024-01-03 06:00:00,VH-0009,2.98,52453,7.46,18.03,1,4.67,12.58,96.23,0,8,0.0054,0
2024-01-03 12:00:00,VH-0010,7.49,137952,19.67,59.84,3,4.26,12.01,94.97,3,5,0.9681,1
2024-01-03 18:00:00,VH-0011,7.22,104686,11.77,56.9,3,3.81,12.16,96.67,1,7,0.3171,1
2024-01-04 00:00:00,VH-0012,5.37,79104,8.04,40.13,2,5.57,12.75,91.03,0,9,0.0506,0
2024-01-04 06:00:00,VH-0013,8.13,120732,7.38,63.62,3,5.69,12.34,100.71,2,7,0.5837,0
2024-01-04 12:00:00,VH-0014,6.42,101051,5.81,48.79,2,5.17,12.25,88.95,1,15,0.1058,0
2024-01-04 18:00:00,VH-0015,2.97,29988,13.73,20.23,2,4.08,12.5,91.8,0,5,0.0107,1
2024-01-05 00:00:00,VH-0016,6.16,88820,9.35,32.72,4,4.21,11.95,101.89,1,8,0.1483,0
2024-01-05 06:00:00,VH-0017,2.71,32803,1.53,23.55,0,3.31,12.97,87.25,0,9,0.0019,0
2024-01-05 12:00:00,VH-0018,7.48,125182,2.44,59.57,1,4.69,12.25,85.04,0,10,0.0148,0
2024-01-05 18:00:00,VH-0019,5.07,46113,8.23,8.9,1,4.74,12.27,89.72,0,3,0.0014,0
2024-01-06 00:00:00,VH-0020,4.72,53111,2.08,25.24,1,4.4,12.84,98.56,0,5,0.0364,0
2024-01-06 06:00:00,VH-0021,3.43,47228,6.01,8.8,0,2.8,12.5,78.04,2,5,0.0025,0
2024-01-06 12:00:00,VH-0022,8.38,128588,9.88,50.78,2,5.78,12.13,94.2,2,5,0.443,0
2024-01-06 18:00:00,VH-0023,4.8,65954,7.5,52.98,2,2.61,12.93,88.94,1,6,0.0191,0
2024-01-07 00:00:00,VH-0024,4.09,45483,1.79,17.98,1,3.56,12.37,90.34,0,8,0.0015,0
2024-01-07 06:00:00,VH-0025,4.28,66754,2.56,47.3,0,2.8,12.85,87.66,2,8,0.005,0
2024-01-07 12:00:00,VH-0026,6.58,108379,7.66,86.05,2,3.91,12.75,97.56,1,15,0.5089,0
2024-01-07 18:00:00,VH-0027,6.15,62500,18.31,54.97,3,6.36,12.58,95.65,1,5,0.6179,0
