service_id,service_date,month,city,service_center,vehicle_model,vehicle_age_years,mileage_km,service_type,complaint_category,warranty_status,parts_cost_inr,labor_cost_inr,total_bill_inr,turnaround_hours,customer_rating,repeat_visit_30d,technician_experience_years,payment_mode
SRV-00001,2025-10-21,Oct,Nagpur,Hingna Service Hub,Virtus,0.1,4251,Inspection,General Service,Under Warranty,400,1170,1850,1.9,4.9,No,9,UPI
SRV-00002,2025-10-09,Oct,Nashik,College Road Auto Care,Taigun,5.5,65131,Scheduled Maintenance,General Service,Under Warranty,2060,1440,4130,2.2,4.9,No,7,UPI
SRV-00003,2025-02-20,Feb,Pune,Baner Auto Care,Virtus,4.6,60204,Inspection,General Service,Under Warranty,460,1080,1820,1.5,4.3,No,9,Debit Card
SRV-00004,2025-06-16,Jun,Pune,Baner Auto Care,Polo,4.1,51416,Inspection,Brakes,Out of Warranty,1260,1570,3340,5.3,4.3,No,8,UPI
SRV-00005,2025-01-27,Jan,Pune,Wakad Service Hub,Virtus,2.4,36573,Scheduled Maintenance,Electrical,Under Warranty,1370,1560,3460,6.8,4.8,No,5,Debit Card
SRV-00006,2025-06-05,Jun,Pune,Baner Auto Care,Virtus,0.1,500,Recall,Air Conditioning,Under Warranty,320,700,1200,6.5,4.4,No,5,Cash
SRV-00007,2025-06-22,Jun,Pune,Wakad Service Hub,Virtus,2.1,21348,Inspection,General Service,Under Warranty,310,1040,1590,1.7,5.0,No,13,UPI
SRV-00008,2025-02-05,Feb,Pune,Baner Auto Care,Tiguan,3.3,36822,Scheduled Maintenance,Tyres/Suspension,Out of Warranty,11250,3990,17980,8.0,4.0,No,7,UPI
SRV-00009,2025-05-17,May,Mumbai,Thane Auto Care,Polo,9.2,116674,Repair,Engine,Out of Warranty,15190,6470,25560,18.4,3.9,No,6,Credit Card
SRV-00010,2025-05-10,May,Nagpur,Wardha Road Auto Care,Vento,8.8,116922,Scheduled Maintenance,Tyres/Suspension,Out of Warranty,3770,2770,7720,12.6,4.4,No,4,Credit Card
SRV-00011,2025-05-01,May,Nashik,College Road Auto Care,Taigun,4.0,66850,Recall,General Service,Under Warranty,250,890,1350,1.3,5.0,No,14,Net Banking
SRV-00012,2025-07-14,Jul,Pune,Wakad Service Hub,Vento,6.6,79954,Repair,Electrical,Out of Warranty,15880,4030,23490,17.3,4.4,No,3,Credit Card
SRV-00013,2025-05-05,May,Nashik,Ambad Service Hub,Tiguan,3.9,41959,Repair,Electrical,Under Warranty,10150,4160,16890,13.6,4.0,No,6,Debit Card
SRV-00014,2025-01-21,Jan,Nagpur,Hingna Service Hub,Virtus,0.1,500,Emergency,Electrical,Under Warranty,4410,2750,8450,28.5,2.7,Yes,3,Cash
SRV-00015,2025-02-25,Feb,Mumbai,Andheri Service Hub,Polo,10.9,109091,Emergency,Engine,Out of Warranty,19950,7150,31980,27.4,3.2,Yes,5,Debit Card
SRV-00016,2025-06-25,Jun,Mumbai,Andheri Service Hub,Tiguan,2.6,35642,Scheduled Maintenance,Engine,Under Warranty,2820,1180,4720,13.0,3.8,Yes,4,UPI
SRV-00017,2025-10-25,Oct,Nagpur,Wardha Road Auto Care,Virtus,3.7,46200,Scheduled Maintenance,General Service,Out of Warranty,3740,2460,7320,4.3,4.2,No,12,Credit Card
SRV-00018,2025-04-11,Apr,Mumbai,Thane Auto Care,Taigun,3.1,30477,Recall,Air Conditioning,Out of Warranty,1610,1160,3270,9.4,4.6,No,11,UPI
SRV-00019,2025-09-02,Sep,Nashik,Ambad Service Hub,Tiguan,4.4,72241,Inspection,General Service,Out of Warranty,1280,2250,4170,3.0,4.4,No,6,UPI
SRV-00020,2025-08-02,Aug,Mumbai,Andheri Service Hub,Polo,9.4,115499,Repair,Air Conditioning,Out of Warranty,9250,6060,18070,10.3,4.7,No,13,Credit Card
SRV-00021,2025-10-07,Oct,Pune,Hadapsar Workshop,Tiguan,4.7,57351,Scheduled Maintenance,General Service,Under Warranty,1450,1980,4050,1.0,4.8,No,10,Credit Card
SRV-00022,2025-06-20,Jun,Nashik,College Road Auto Care,Tiguan,5.4,96290,Scheduled Maintenance,Engine,Out of Warranty,5640,1980,8990,5.8,4.9,No,6,Cash
SRV-00023,2025-10-17,Oct,Nagpur,Hingna Service Hub,Tiguan,3.2,48981,Recall,Electrical,Out of Warranty,1640,950,3060,8.6,4.9,No,9,Cash
SRV-00024,2025-08-29,Aug,Pune,Wakad Service Hub,Polo,1.2,4093,Emergency,Engine,Out of Warranty,27440,7560,41300,28.4,3.0,Yes,5,Debit Card
SRV-00025,2025-08-03,Aug,Pune,Hadapsar Workshop,Virtus,1.5,24930,Recall,Electrical,Under Warranty,380,460,990,13.8,4.2,No,3,Net Banking
SRV-00026,2025-06-17,Jun,Nashik,College Road Auto Care,Virtus,3.9,59510,Repair,Electrical,Out of Warranty,14200,5100,22770,20.0,4.2,No,10,UPI
SRV-00027,2025-05-20,May,Mumbai,Thane Auto Care,Virtus,3.8,31207,Repair,Engine,Under Warranty,7510,2490,11800,18.7,4.1,No,5,Debit Card
SRV-00028,2025-05-08,May,Mumbai,Navi Mumbai Workshop,Taigun,3.2,62327,Inspection,Tyres/Suspension,Out of Warranty,1470,1800,3860,2.9,4.9,No,6,UPI
SRV-00029,2025-10-26,Oct,Pune,Wakad Service Hub,Taigun,2.6,28104,Scheduled Maintenance,Electrical,Out of Warranty,4670,1770,7600,1.0,5.0,No,12,Debit Card
SRV-00030,2025-05-24,May,Nashik,College Road Auto Care,Taigun,3.4,48314,Repair,Engine,Under Warranty,4450,2500,8200,21.4,4.6,No,9,Credit Card
SRV-00031,2025-02-24,Feb,Mumbai,Navi Mumbai Workshop,Taigun,2.5,24799,Scheduled Maintenance,General Service,Under Warranty,690,1240,2280,1.0,4.8,No,4,Debit Card
SRV-00032,2025-08-25,Aug,Pune,Hadapsar Workshop,Taigun,4.5,67351,Repair,Air Conditioning,Out of Warranty,10600,4040,17280,11.7,4.3,No,5,UPI
SRV-00033,2025-06-30,Jun,Nashik,College Road Auto Care,Polo,8.7,122960,Emergency,Brakes,Out of Warranty,17380,6090,27690,23.5,4.5,No,2,Credit Card
SRV-00034,2025-10-21,Oct,Nashik,College Road Auto Care,Tiguan,3.6,41735,Inspection,General Service,Out of Warranty,1080,1760,3350,5.6,4.6,No,7,UPI
SRV-00035,2025-01-16,Jan,Mumbai,Navi Mumbai Workshop,Tiguan,4.7,44259,Inspection,General Service,Out of Warranty,1740,1880,4270,1.0,4.4,No,4,Debit Card
SRV-00036,2025-09-20,Sep,Nagpur,Wardha Road Auto Care,Virtus,4.6,56627,Repair,Tyres/Suspension,Under Warranty,5430,2740,9640,15.2,4.0,No,7,Cash
SRV-00037,2025-05-25,May,Pune,Hadapsar Workshop,Virtus,2.6,31390,Scheduled Maintenance,General Service,Under Warranty,2070,1480,4190,5.0,4.9,No,2,Net Banking
SRV-00038,2025-09-23,Sep,Mumbai,Thane Auto Care,Tiguan,8.3,110865,Scheduled Maintenance,General Service,Under Warranty,2010,1550,4200,1.0,4.5,No,3,UPI
SRV-00039,2025-11-12,Nov,Pune,Wakad Service Hub,Tiguan,3.1,26819,Repair,Engine,Under Warranty,12070,3130,17940,18.0,4.5,No,9,Credit Card
SRV-00040,2025-12-19,Dec,Nagpur,Wardha Road Auto Care,Tiguan,3.2,43621,Scheduled Maintenance,Brakes,Out of Warranty,8040,1570,11340,3.7,4.0,No,7,UPI
SRV-00041,2025-06-08,Jun,Pune,Baner Auto Care,Polo,3.7,54214,Inspection,General Service,Under Warranty,320,1190,1780,1.0,3.9,Yes,5,Credit Card
