vehicle_id,vehicle_age_years,mileage_km,service_gap_months,engine_alerts,brake_wear_percent,avg_monthly_distance_km,warranty_claims,customer_complaints,repair_cost_last_year,battery_voltage,driving_pattern,fuel_type,region,transmission,service_center_type,service_risk
VH100001,6.3,84284,2.0,1,,1012,2,0,7411.0,Normal,City,CNG,North,Manual,Authorized,Low Risk
VH100002,2.7,37436,3.0,3,26.1,2253,0,3,9641.0,Normal,City,Petrol,North,Automatic,Authorized,Low Risk
VH100003,7.5,138236,5.0,1,92.0,1595,0,0,8956.0,Low,City,Electric,South,Automatic,Authorized,High Risk
VH100004,8.0,89051,12.0,2,69.9,1795,1,1,7299.0,Normal,Highway,Petrol,West,Manual,Authorized,High Risk
VH100005,0.5,5000,4.0,1,14.4,708,0,2,6034.0,Normal,City,Diesel,West,Manual,Independent,High Risk
VH100006,2.0,22206,6.0,2,8.0,892,1,0,7448.0,Normal,City,Petrol,South,Manual,Authorized,Low Risk
VH100007,5.8,22680,16.0,1,33.1,896,1,1,7173.0,Normal,Highway,Diesel,West,Manual,Authorized,High Risk
VH100008,4.6,68707,8.0,3,53.5,1346,0,1,11666.0,Normal,City,Petrol,South,Automatic,Authorized,Low Risk
VH100009,5.5,91044,,2,53.7,1160,1,0,9254.0,Normal,Highway,Petrol,South,Automatic,Authorized,Low Risk
VH100010,3.2,49110,6.0,2,49.8,995,0,1,11140.0,Normal,City,Diesel,West,Manual,Independent,Low Risk
VH100011,7.9,125941,3.0,3,68.6,1061,2,2,12844.0,Normal,Mixed,Petrol,North,Manual,Independent,High Risk
VH100012,7.6,100696,7.0,0,81.4,837,2,0,12577.0,Normal,Mixed,Electric,North,Manual,Independent,Low Risk
VH100013,5.7,78359,14.0,4,56.9,1156,2,0,5634.0,Normal,Highway,CNG,South,Manual,Authorized,High Risk
VH100014,8.5,68505,6.0,1,27.1,1829,1,0,11870.0,Normal,Mixed,Diesel,East,Automatic,Authorized,Low Risk
VH100015,6.8,69548,5.0,3,54.6,463,2,2,10097.0,Normal,City,Diesel,North,Automatic,Authorized,High Risk
VH100016,3.2,35314,13.0,1,29.2,1430,0,0,2881.0,Normal,City,Petrol,East,Manual,Authorized,Low Risk
VH100017,6.5,63622,20.0,1,43.2,1968,0,0,12307.0,Normal,City,Petrol,West,Manual,Authorized,Low Risk
VH100018,2.9,56630,8.0,2,37.3,1155,0,1,9455.0,Low,City,Petrol,West,Automatic,Authorized,High Risk
VH100019,7.9,97188,4.0,4,66.6,975,1,2,7189.0,Low,Mixed,Diesel,North,Manual,Authorized,Low Risk
VH100020,5.4,20981,3.0,2,20.3,1731,1,1,11150.0,Low,City,CNG,East,Manual,Independent,Low Risk
VH100021,5.0,34439,14.0,5,12.7,738,2,1,14151.0,Normal,City,Petrol,North,Automatic,Independent,Low Risk
VH100022,3.7,39364,2.0,3,49.9,1238,0,2,6266.0,Normal,Mixed,Petrol,South,Automatic,Authorized,High Risk
VH100023,8.8,109683,11.0,4,72.2,709,2,3,11747.0,Normal,City,Petrol,North,Automatic,Independent,High Risk
VH100024,5.1,53156,8.0,0,35.5,278,2,0,1000.0,Normal,Highway,Diesel,East,Manual,Independent,Low Risk
VH100025,4.3,47678,14.0,2,28.1,1171,0,0,6790.0,Normal,City,Petrol,South,Automatic,Authorized,High Risk
VH100026,4.5,67562,5.0,2,60.0,593,1,1,7482.0,Low,Mixed,Petrol,South,Automatic,,Low Risk
VH100027,6.9,113364,20.0,1,62.7,1244,3,0,11510.0,Normal,City,Petrol,South,Manual,Independent,High Risk
VH100028,6.5,63762,9.0,4,50.9,1830,2,4,13212.0,Normal,Mixed,Petrol,North,Manual,Authorized,High Risk
VH100029,6.6,40845,12.0,0,30.3,2214,0,1,,Normal,Highway,Diesel,East,Manual,Independent,Low Risk
VH100030,6.7,96265,11.0,1,61.7,1299,0,0,9544.0,Normal,Mixed,Electric,South,Manual,Authorized,Low Risk
VH100031,11.3,154586,9.0,4,87.7,1780,0,1,15857.0,Low,Mixed,Petrol,North,Automatic,Authorized,High Risk
VH100032,4.4,64421,10.0,3,43.0,1457,1,1,6219.0,Normal,Mixed,Petrol,East,Automatic,Independent,High Risk
VH100033,4.1,46981,1.0,1,40.2,1051,1,0,1354.0,Normal,City,Petrol,South,Manual,Authorized,Low Risk
VH100034,3.3,36337,11.0,4,36.8,249,0,4,11469.0,Normal,,CNG,South,Manual,Authorized,Low Risk
VH100035,7.2,135272,4.0,3,80.5,2096,1,1,13158.0,Normal,Mixed,Diesel,South,Manual,Authorized,High Risk
VH100036,8.5,92848,7.0,4,64.6,704,1,1,15932.0,,Highway,Diesel,North,Manual,Independent,Low Risk
VH100037,5.2,75491,9.0,1,65.7,1969,0,1,5100.0,Low,Mixed,Diesel,North,Manual,Independent,High Risk
VH100038,3.2,26526,14.0,2,10.4,1529,0,1,7427.0,Normal,Mixed,Electric,West,Automatic,Authorized,Low Risk
VH100039,3.3,25006,4.0,1,27.8,742,1,0,1319.0,Normal,City,Petrol,East,Automatic,Authorized,Low Risk
VH100040,7.3,115918,5.0,3,67.9,1412,2,4,8663.0,Normal,City,Petrol,South,Automatic,Authorized,High Risk
VH100041,7.5,103106,6.0,1,59.7,2359,0,1,9608.0,Normal,City,Petrol,South,Manual,Authorized,Low Risk
VH100042,7.0,99713,8.0,3,72.3,2049,0,1,12390.0,Normal,Highway,Diesel,North,Automatic,Authorized,Low Risk
VH100043,3.7,38479,6.0,4,29.4,983,1,0,,Normal,Highway,Petrol,East,Automatic,Independent,Low Risk
VH100044,6.1,69363,10.0,2,39.2,880,0,1,6106.0,Normal,City,CNG,North,Manual,Authorized,Low Risk
VH100045,5.8,92903,,3,80.2,1302,1,1,9301.0,Normal,Mixed,Diesel,North,Manual,Authorized,Low Risk
VH100046,6.1,68821,7.0,3,62.4,1164,1,1,13807.0,Normal,City,Electric,East,Manual,Independent,High Risk
VH100047,7.9,71732,18.0,0,32.6,1874,0,0,6008.0,Normal,City,Electric,South,Manual,Authorized,Low Risk
VH100048,6.1,70732,6.0,3,37.1,1635,0,1,11190.0,Normal,City,Diesel,East,Automatic,Authorized,High Risk
VH100049,7.3,110283,10.0,4,81.8,370,2,0,13855.0,Low,Highway,CNG,South,Automatic,Authorized,High Risk
VH100050,5.7,92094,13.0,0,62.0,1489,0,0,5831.0,Normal,City,Diesel,West,Automatic,Authorized,High Risk
VH100051,6.3,66998,9.0,1,,1157,1,0,9278.0,Normal,Mixed,Petrol,North,Manual,Independent,High Risk
VH100052,7.2,67728,21.0,2,58.4,1269,1,2,6176.0,Normal,Mixed,Diesel,East,Manual,Authorized,High Risk
VH100053,1.6,7920,8.0,0,21.7,1379,0,1,841.0,Normal,Highway,Electric,North,Manual,Independent,Low Risk
VH100054,4.6,52800,11.0,4,32.1,1873,1,2,15230.0,Normal,Mixed,Diesel,South,Manual,Authorized,High Risk
VH100055,4.2,34246,9.0,2,38.4,1758,1,2,12595.0,Normal,City,Diesel,West,Automatic,Authorized,Low Risk
VH100056,3.8,29486,16.0,2,16.3,860,0,3,10117.0,Normal,City,Petrol,North,Manual,Authorized,Low Risk
